N,uno_menos_inversa,cociente,cociente_denominador_entero,diferencia_absoluta
1,0.5,0.5,0.5,0.0
2,0.6666666666666667,0.6666666666666666,0.6666666666666666,1.1102230246251565e-16
3,0.75,0.75,0.75,0.0
4,0.8,0.8,0.8,0.0
5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
6,0.8571428571428572,0.8571428571428571,0.8571428571428571,1.1102230246251565e-16
7,0.875,0.875,0.875,0.0
8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0
9,0.9,0.9,0.9,0.0
10,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0
11,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0
12,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0
14,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.0
15,0.9375,0.9375,0.9375,0.0
16,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.0
17,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0
18,0.9473684210526316,0.9473684210526315,0.9473684210526315,1.1102230246251565e-16
19,0.95,0.95,0.95,0.0
22,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.0
25,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.0
28,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.0
30,0.967741935483871,0.967741935483871,0.967741935483871,0.0
31,0.96875,0.96875,0.96875,0.0
32,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.0
33,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.0
34,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.0
35,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.0
39,0.975,0.975,0.975,0.0
44,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.0
50,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.0
56,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.0
62,0.9841269841269842,0.9841269841269841,0.9841269841269841,1.1102230246251565e-16
63,0.984375,0.984375,0.984375,0.0
