k,termino_racionalizado,termino_sustractivo,diferencia_absoluta,error_relativo
1,0.4142135623730951,0.41421356237309515,5.551115123125783e-17,1.3401577416544657e-16
2,0.2360679774997897,0.2360679774997898,1.1102230246251565e-16,4.702980202497586e-16
3,0.16227766016837933,0.16227766016837952,1.942890293094024e-16,1.1972629449291298e-15
4,0.12310562561766053,0.12310562561766059,5.551115123125783e-17,4.509229448511432e-16
5,0.09901951359278484,0.09901951359278449,3.469446951953614e-16,3.5038012469154557e-15
6,0.0827625302982197,0.08276253029821934,3.608224830031759e-16,4.3597323777199395e-15
7,0.07106781186547524,0.0710678118654755,2.636779683484747e-16,3.710230573126306e-15
8,0.06225774829854965,0.06225774829854913,5.204170427930421e-16,8.359072677949159e-15
9,0.05538513813741663,0.0553851381374173,6.730727086790012e-16,1.2152586981168732e-14
10,0.04987562112089027,0.049875621120889946,3.2612801348363973e-16,6.538826106910213e-15
11,0.04536101718726077,0.045361017187261155,3.8163916471489756e-16,8.413373164437711e-15
12,0.04159457879229548,0.04159457879229578,2.983724378680108e-16,7.17334918470861e-15
13,0.03840481040529743,0.038404810405298306,8.743006318923108e-16,2.2765393779205134e-14
14,0.035668847618199634,0.035668847618198996,6.38378239159465e-16,1.789736091260037e-14
15,0.03329637837290827,0.03329637837290811,1.5959455978986625e-16,4.793150714545009e-15
16,0.031219541881397365,0.031219541881398527,1.1622647289044608e-15,3.722875669732405e-14
17,0.02938636592640117,0.029386365926402647,1.4779844015322396e-15,5.029490224255308e-14
18,0.027756377319946467,0.02775637731994607,3.9898639947466563e-16,1.4374584798137308e-14
19,0.026297590440448063,0.026297590440446328,1.734723475976807e-15,6.596511113461735e-14
20,0.024984394500785725,0.024984394500787488,1.762479051592436e-15,7.05431965356218e-14
21,0.023796041628638284,0.02379604162863913,8.465450562766819e-16,3.557503678502032e-14
22,0.022715545545240502,0.022715545545239024,1.4779844015322396e-15,6.50648868894067e-14
23,0.021728866442676444,0.021728866442675354,1.0894063429134349e-15,5.013636333894497e-14
24,0.020824298928627732,0.020824298928626916,8.153200337090993e-16,3.915234008614123e-14
25,0.01999200639360716,0.019992006393607653,4.926614671774132e-16,2.4642922650072353e-14
26,0.019223662515374905,0.019223662515376105,1.2004286453759505e-15,6.244536619470192e-14
27,0.01851217221259206,0.01851217221259205,1.0408340855860843e-17,5.622430872148566e-16
28,0.017851452243799772,0.017851452243800026,2.5326962749261384e-16,1.4187620370246366e-14
29,0.01723625709381717,0.01723625709381693,2.393918396847994e-16,1.3888852921013332e-14
30,0.016662039607268763,0.016662039607268753,1.0408340855860843e-17,6.246738755392369e-16
31,0.016124838541645255,0.01612483854164637,1.1136924715771102e-15,6.906689134907006e-14
32,0.015621187164243433,0.015621187164242656,7.771561172376096e-16,4.975013160437022e-14
33,0.015148038438355608,0.01514803843835466,9.471590178833367e-16,6.252684278151035e-14
34,0.01470270338989748,0.014702703389900762,3.282096816548119e-15,2.2323083922126274e-13
35,0.014282800023192821,0.014282800023195819,2.9976021664879227e-15,2.0987496580644763e-13
36,0.013886210738212973,0.013886210738213833,8.604228440844963e-16,6.196239278702066e-14
37,0.01351104664349456,0.013511046643493785,7.754213937616328e-16,5.739165989298029e-14
38,0.013155617496424838,0.013155617496423133,1.7052331768852014e-15,1.2962015483869262e-13
39,0.012818406262319157,0.012818406262319115,4.163336342344337e-17,3.247936020395011e-15
40,0.012498047485113248,0.012498047485109964,3.283831540024096e-15,2.62747564684448e-13
41,0.012193308819756417,0.012193308819753668,2.7495367094232392e-15,2.2549553612291485e-13
42,0.01190307520000932,0.011903075200009994,6.730727086790012e-16,5.6546119164102576e-14
43,0.011626335213133858,0.01162633521313694,3.0826036168107862e-15,2.651397504287059e-13
44,0.011362169330773851,0.011362169330773497,3.5388358909926865e-16,3.114577672599837e-14
45,0.011109739707595883,0.01110973970759943,3.5475095083725705e-15,3.193152676607796e-13
46,0.010868281309362831,0.010868281309363681,8.500145032286355e-16,7.82105724937726e-14
47,0.010637094172633643,0.010637094172636807,3.164135620181696e-15,2.974624055056463e-13
48,0.010415536631215456,0.010415536631214195,1.2611439670351388e-15,1.210829563265592e-13
49,0.010203019371384767,0.010203019371381572,3.1953606427492787e-15,3.1317794531596585e-13
50,0.009999000199950016,0.009999000199947261,2.7547408798511697e-15,2.7550163263972535e-13
51,0.00980297942739555,0.009802979427398384,2.8345381597461028e-15,2.8915067921336867e-13
52,0.009614495783373379,0.009614495783374366,9.870576578308032e-16,1.0266348647609271e-13
53,0.0094331227942863,0.009433122794284543,1.7572748811645056e-15,1.8628771399317495e-13
54,0.00925846556310571,0.009258465563107166,1.4554329963445412e-15,1.5720023868148653e-13
55,0.009090157900266802,0.00909015790026757,7.684824998577255e-16,8.454006061161711e-14
56,0.008927859761786373,0.008927859761783452,2.921274333544943e-15,3.2720880608460926e-13
57,0.008771254956898957,0.008771254956897678,1.2784912017949068e-15,1.4575921097691048e-13
58,0.008620049092703787,0.008620049092705528,1.7416623698807143e-15,2.0204784812129416e-13
59,0.008473967727719911,0.008473967727717024,2.886579864025407e-15,3.406408847396093e-13
60,0.008332754709991194,0.008332754709989842,1.3513495877859327e-15,1.6217321099895438e-13
61,0.008196170678575473,0.008196170678573367,2.105954299835844e-15,2.5694368534085567e-13
62,0.008063991709981464,0.008063991709981622,1.5785983631388945e-16,1.957589268333366e-14
63,0.00793600809345667,0.00793600809345918,2.508410146262463e-15,3.1607958519229283e-13
64,0.007812023221040577,0.007812023221035247,5.32993787993874e-15,6.822736862306436e-13
65,0.007691852580029901,0.007691852580023806,6.094950932844512e-15,7.923905027338445e-13
66,0.007575322836999358,0.007575322836999021,3.365363543395006e-16,4.4425348144344586e-14
67,0.007462271003816907,0.007462271003817023,1.1535911115245767e-16,1.5458981735379507e-14
68,0.007352543677216726,0.007352543677214385,2.341009330830701e-15,3.18394481366329e-13
69,0.00724599634447084,0.007245996344465766,5.074066167232161e-15,7.002578977429375e-13
70,0.007142492748552406,0.007142492748556606,4.19976553533985e-15,5.879971717424608e-13
71,0.007041904306927691,0.007041904306930746,3.0557154029331457e-15,4.3393310527196336e-13
72,0.006944109578764987,0.006944109578768121,3.133777959352102e-15,4.5128578744424794e-13
73,0.006848993775919571,0.0068489937759181885,1.3825746103535153e-15,2.0186536235651428e-13
74,0.006756448313555313,0.00675644831355271,2.602952575703199e-15,3.852545679186138e-13
75,0.0066663703967048925,0.006666370396700927,3.965577866082981e-15,5.948631159233395e-13
76,0.006578662639459712,0.0065786626394555014,4.210173876195711e-15,6.39974126495333e-13
77,0.006493232713824184,0.0064932327138222945,1.889113865338743e-15,2.909358017181169e-13
78,0.006409993025573155,0.0064099930255707704,2.3843774177301214e-15,3.719781610085169e-13
79,0.006328860414720576,0.006328860414726023,5.447031714567174e-15,8.606654844050096e-13
80,0.006249755878446624,0.0062497558784428975,3.726186026398182e-15,5.962130519767317e-13
81,0.0061726043145430625,0.006172604314542696,3.668940151690947e-16,5.943909514897435e-14
82,0.006097334283625816,0.006097334283623468,2.3479482247346084e-15,3.850778250816826e-13
83,0.006023877788532462,0.0060238777885359696,3.507610868425104e-15,5.822845335777684e-13
84,0.005952170069473001,0.005952170069477347,4.34634966905989e-15,7.302126146144731e-13
85,0.005882149413636915,0.005882149413636739,1.7607443281164592e-16,2.9933689274101526e-14
86,0.005813756978080231,0.005813756978085394,5.162537064506978e-15,8.879863888310836e-13
87,0.0057469366248243114,0.005746936624831278,6.966649479522857e-15,1.2122370463300234e-12
88,0.0056816347671952965,0.005681634767199739,4.442626821976603e-15,7.819275620508915e-13
89,0.005617800226520309,0.0056178002265170335,3.2751579226442118e-15,5.829965094135894e-13
90,0.005555384098375108,0.005555384098371974,3.1346453210900904e-15,5.642535719549871e-13
91,0.00549433962764866,0.005494339627645672,2.987193825632062e-15,5.436856889224469e-13
92,0.005434622091753913,0.005434622091755159,1.2463988174893359e-15,2.2934415612458645e-13
93,0.0053761886913718,0.005376188691371908,1.0842021724855044e-16,2.0166743295776272e-14
94,0.005318998448167598,0.005318998448160528,7.069865526343477e-15,1.3291723235563372e-12
95,0.005263012108966005,0.005263012108969178,3.1736765992995686e-15,6.030152569652901e-13
96,0.005208192055914107,0.005208192055917493,3.3861802251067274e-15,6.501642390974401e-13
97,0.005154502222200213,0.005154502222197266,2.9472951856845953e-15,5.717904578623955e-13
98,0.005101908012931773,0.005101908012932199,4.2587461335230614e-16,8.347359699015437e-14
99,0.005050376230807713,0.005050376230812503,4.790438878909953e-15,9.4853109154282e-13
100,0.004999875006249609,0.004999875006248544,1.0651202142497596e-15,2.130293683178898e-13
101,0.004950373731682756,0.0049503737316882734,5.517288015344235e-15,1.1145194917371966e-12
102,0.004901842999682385,0.004901842999686323,3.9386896522053405e-15,8.035119958881891e-13
103,0.004854254544722403,0.004854254544724768,2.364428097756388e-15,4.870836656736551e-13
104,0.0048075811882842216,0.004807581188288168,3.946495907847236e-15,8.208901219317113e-13
105,0.004761796787101706,0.004761796787107642,5.9353563730546455e-15,1.2464531013023831e-12
106,0.0047168761843351965,0.004716876184332364,2.832803436270126e-15,6.005676904723302e-13
107,0.0046727951634829915,0.0046727951634863985,3.406996906818449e-15,7.291132582578162e-13
108,0.004629530404852919,0.004629530404855586,2.667137344314341e-15,5.761140139653271e-13
109,0.004587059444429603,0.004587059444432384,2.78162909372881e-15,6.064079019308859e-13
110,0.004545360634984991,0.004545360634978124,6.866902879654191e-15,1.5107498460739554e-12
111,0.0045044131092907246,0.0045044131092879525,2.7720881146109377e-15,6.154160480736717e-13
112,0.004464196745300979,0.004464196745303184,2.204833537966522e-15,4.93892555315205e-13
113,0.004424692133183746,0.004424692133184749,1.0026701691145945e-15,2.266078947267078e-13
114,0.004385880544087075,0.004385880544091947,4.871970882280863e-15,1.1108307290423406e-12
115,0.004347743900534675,0.004347743900538603,3.92828131134948e-15,9.035217807714915e-13
116,0.0043102647483525824,0.004310264748355053,2.4702462297909733e-15,5.731077727267499e-13
117,0.004273426230035284,0.004273426230028576,6.707308319864325e-15,1.569538810035559e-12
118,0.004237212059465945,0.004237212059464923,1.0217521273503394e-15,2.411378314351159e-13
119,0.004201606497911078,0.004201606497915122,4.044507784239926e-15,9.626098460792897e-13
120,0.0041665943312153295,0.004166594331209694,5.635249211710658e-15,1.3524832906079785e-12
121,0.004132160848126964,0.004132160848129729,2.7651492207070305e-15,6.691775374524504e-13
122,0.004098291819689183,0.004098291819687461,1.7225804116449694e-15,4.203166800785823e-13
123,0.004064973479636625,0.004064973479643186,6.5607241861442844e-15,1.613964818961318e-12
124,0.0040321925057403086,0.004032192505746934,6.625776316493415e-15,1.6432192428959751e-12
125,0.003999936002047918,0.003999936002045956,1.961972251329769e-15,4.905009105958853e-13
126,0.003968191481969692,0.003968191481973804,4.112161999803021e-15,1.0362811417965814e-12
127,0.00393694685216332,0.003936946852164169,8.491471414906471e-16,2.1568671698579004e-13
128,0.0039061903971741446,0.003906190397174214,6.938893903907228e-17,1.776383944040985e-14
129,0.0038759107647897027,0.0038759107647763358,1.3366911744139287e-14,3.4487150389450573e-12
130,0.003846096952070135,0.003846096952059952,1.0183260484852852e-14,2.6476868918688548e-12
131,0.0038167382920183597,0.0038167382920164528,1.9068947809675052e-15,4.996137107318158e-13
132,0.0037878244408560808,0.003787824440848908,7.172647892295103e-15,1.893606212296899e-12
133,0.0037593453658737595,0.0037593453658644194,9.340184875528124e-15,2.4845242898712094e-12
134,0.0037312913338245607,0.0037312913338212184,3.342378457338313e-15,8.9576989795444e-13
135,0.003703652899834065,0.003703652899844201,1.0135989270132484e-14,2.736754643121824e-12
136,0.0036764208967992266,0.0036764208967952072,4.019354293838262e-15,1.0932791447621248e-12
137,0.00364958642525155,0.003649586425240159,1.1391061705001704e-14,3.1211924798346346e-12
138,0.0036231408436609674,0.0036231408436719903,1.1022866647225626e-14,3.0423511320326368e-12
139,0.003597075759158212,0.0035970757591599067,1.6948248360293405e-15,4.711674008294903e-13
140,0.0035713830186547644,0.003571383018652341,2.4234086959395995e-15,6.785630897837518e-13
141,0.003546054700340646,0.0035460547003367537,3.892285799222961e-15,1.0976383976392284e-12
142,0.0035210831055414223,0.0035210831055394465,1.9758500391375833e-15,5.611483682472655e-13
143,0.0034964607509168437,0.0034964607509095913,7.252445172190036e-15,2.074224677136243e-12
144,0.0034721803609845166,0.003472180360972743,1.177356823145459e-14,3.3908285306113137e-12
145,0.0034482348609529098,0.003448234860940147,1.2762794293630364e-14,3.701254354265011e-12
146,0.00342461736984887,0.0034246173698591065,1.0236603231739139e-14,2.9891232001170646e-12
147,0.003401321193925632,0.0034013211939338817,8.249477490007706e-15,2.425374441184891e-12
148,0.003378339820338035,0.0033783398203297565,8.278534108230318e-15,2.4504740637376057e-12
149,0.003355666911072423,0.0033556669110623716,1.0051421500678615e-14,2.9953573364247657e-12
150,0.0033332962971193186,0.0033332962971144298,4.8888844361716366e-15,1.4666816269518792e-12
151,0.003311221972877637,0.0033112219728650416,1.2595393478198602e-14,3.803850536559619e-12
152,0.00328943809077976,0.0032894380907748655,4.894522287468561e-15,1.487950875618491e-12
153,0.0032679389561273823,0.0032679389561280914,7.090682208055199e-16,2.169771927581504e-13
154,0.0032467190221285433,0.003246719022115485,1.3058130965415415e-14,4.021946733430147e-12
155,0.0032257728851267536,0.0032257728851163847,1.036887589678237e-14,3.214384975641252e-12
156,0.0032050952800136093,0.003205095280009118,4.4911990793039536e-15,1.401268507463804e-12
157,0.003184681075816705,0.003184681075822482,5.777062855871762e-15,1.8140161348464841e-12
158,0.0031645252714550833,0.003164525271444063,1.1020264562011661e-14,3.4824384755013896e-12
159,0.0031446229916548443,0.0031446229916411994,1.364490118116457e-14,4.339121483680306e-12
160,0.003124969483017907,0.0031249694830250974,7.190428807923865e-15,2.3009596884062314e-12
161,0.003105560110237272,0.0031055601102423225,5.050647400306474e-15,1.626324147987782e-12
162,0.0030863903524524453,0.0030863903524505076,1.9376861226660935e-15,6.278162841995694e-13
163,0.0030674557997390083,0.0030674557997372176,1.790668308077059e-15,5.837633612290083e-13
164,0.003048752149726614,0.0030487521497377656,1.1151669865316904e-14,3.6577817145014204e-12
165,0.0030302752043399575,0.0030302752043382952,1.6622987708547754e-15,5.485636316048234e-13
166,0.0030120208666575264,0.0030120208666630788,5.552416165732765e-15,1.84341889101663e-12
167,0.002993985137883216,0.0029939851378912863,8.070367291113101e-15,2.6955268377915025e-12
168,0.002976164114426083,0.0029761641144148143,1.1268763699945339e-14,3.786338140871772e-12
169,0.0029585539850837794,0.0029585539850813802,2.3991225672759242e-15,8.109105256728944e-13
170,0.002941151028325378,0.0029411510283239295,1.448494102440634e-15,4.924922550697345e-13
171,0.002923951609669545,0.0029239516096595253,1.0019762797242038e-14,3.426788173958336e-12
172,0.0029069521791541516,0.0029069521791598163,5.6647395108022636e-15,1.948686858842844e-12
173,0.002890149268893652,0.002890149268893083,5.689893001203927e-16,1.9687194230566562e-13
174,0.0028735394907206764,0.002873539490707344,1.3332217274619751e-14,4.63964992222051e-12
175,0.0028571195339084825,0.002857119533899777,8.705709764189606e-15,3.0470232907197864e-12
176,0.0028408861629710485,0.002840886162971401,3.5258254649228604e-16,1.241100580121623e-13
177,0.0028248362155377273,0.0028248362155238738,1.3853501679150781e-14,4.904178728292632e-12
178,0.002808966600299546,0.0028089666002983904,1.1557595158695477e-15,4.1145363413943705e-13
179,0.0027932742950243375,0.0027932742950156353,8.702240317237653e-15,3.115426341315267e-12
180,0.0027777563446380275,0.0027777563446420572,4.029762634694123e-15,1.4507257421886101e-12
181,0.0027624098593695273,0.002762409859371928,2.400857290751901e-15,8.691169714040391e-13
182,0.0027472320129567776,0.0027472320129504624,6.315260814293566e-15,2.298772285889537e-12
183,0.0027322200409116066,0.0027322200409116704,6.375108774214766e-17,2.3333072295625604e-14
184,0.002717371238841169,0.0027173712388446347,3.4655438241326664e-15,1.2753295444499359e-12
