N,mayor_a_menor,menor_a_mayor,randomizada,kahan,referencia_N_sobre_N_mas_1,error_mayor_a_menor,error_menor_a_mayor,error_randomizada,error_kahan,semilla_barrido_aleatorio
10,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,20260912
20,0.9523809523809522,0.9523809523809523,0.9523809523809522,0.9523809523809523,0.9523809523809523,1.1657341758564144e-16,0.0,1.1657341758564144e-16,0.0,20260912
30,0.9677419354838708,0.9677419354838709,0.9677419354838708,0.967741935483871,0.967741935483871,2.2944609175586566e-16,1.1472304587793283e-16,2.2944609175586566e-16,0.0,20260912
40,0.9756097560975606,0.975609756097561,0.9756097560975606,0.975609756097561,0.975609756097561,3.4139358007223566e-16,0.0,3.4139358007223566e-16,0.0,20260912
50,0.9803921568627446,0.9803921568627451,0.9803921568627446,0.9803921568627451,0.9803921568627451,4.529709940470639e-16,0.0,4.529709940470639e-16,0.0,20260912
60,0.9836065573770487,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,4.51490696680897e-16,0.0,0.0,0.0,20260912
70,0.9859154929577462,0.9859154929577464,0.985915492957746,0.9859154929577465,0.9859154929577465,3.378250060645119e-16,1.126083353548373e-16,4.504333414193492e-16,0.0,20260912
80,0.9876543209876542,0.9876543209876543,0.9876543209876545,0.9876543209876543,0.9876543209876543,1.124100812432971e-16,0.0,2.248201624865942e-16,0.0,20260912
90,0.9890109890109888,0.9890109890109889,0.9890109890109888,0.989010989010989,0.989010989010989,2.245117672019761e-16,1.1225588360098805e-16,2.245117672019761e-16,0.0,20260912
100,0.9900990099009898,0.9900990099009901,0.99009900990099,0.9900990099009901,0.9900990099009901,3.3639757646142246e-16,0.0,1.121325254871408e-16,0.0,20260912
110,0.9909909909909906,0.990990990990991,0.9909909909909907,0.990990990990991,0.990990990990991,3.360947883637974e-16,0.0,2.240631922425316e-16,0.0,20260912
120,0.9917355371900822,0.9917355371900826,0.9917355371900822,0.9917355371900827,0.9917355371900827,4.477899532654798e-16,1.1194748831636995e-16,4.477899532654798e-16,0.0,20260912
130,0.99236641221374,0.9923664122137404,0.99236641221374,0.9923664122137404,0.9923664122137404,4.475052806950631e-16,0.0,4.475052806950631e-16,0.0,20260912
140,0.9929078014184393,0.9929078014184397,0.9929078014184393,0.9929078014184397,0.9929078014184397,4.472612756347059e-16,0.0,4.472612756347059e-16,0.0,20260912
150,0.9933774834437081,0.9933774834437086,0.9933774834437085,0.9933774834437086,0.9933774834437086,4.470498045823963e-16,0.0,1.1176245114559908e-16,0.0,20260912
160,0.9937888198757759,0.9937888198757764,0.9937888198757762,0.9937888198757764,0.9937888198757764,4.468647674116255e-16,0.0,2.2343238370581277e-16,0.0,20260912
170,0.9941520467836251,0.9941520467836257,0.9941520467836252,0.9941520467836257,0.9941520467836257,5.583768741497111e-16,0.0,4.467014993197689e-16,0.0,20260912
180,0.9944751381215463,0.9944751381215469,0.9944751381215468,0.994475138121547,0.994475138121547,6.698345581905111e-16,1.1163909303175185e-16,2.232781860635037e-16,0.0,20260912
190,0.9947643979057583,0.9947643979057591,0.9947643979057592,0.9947643979057591,0.9947643979057592,8.928530429617049e-16,1.116066303702131e-16,0.0,1.116066303702131e-16,20260912
200,0.9950248756218899,0.9950248756218905,0.9950248756218906,0.9950248756218906,0.9950248756218906,6.694644838489694e-16,1.1157741397482822e-16,0.0,0.0,20260912
210,0.9952606635071084,0.995260663507109,0.9952606635071085,0.995260663507109,0.995260663507109,5.577549004664477e-16,0.0,4.462039203731581e-16,0.0,20260912
220,0.9954751131221713,0.9954751131221719,0.9954751131221717,0.995475113122172,0.995475113122172,6.691616957513444e-16,1.1152694929189073e-16,2.2305389858378147e-16,0.0,20260912
230,0.9956709956709952,0.9956709956709956,0.9956709956709955,0.9956709956709957,0.9956709956709957,5.575250406269807e-16,1.1150500812539615e-16,2.230100162507923e-16,0.0,20260912
240,0.9958506224066385,0.995850622406639,0.9958506224066389,0.995850622406639,0.995850622406639,5.57424476947214e-16,0.0,1.114848953894428e-16,0.0,20260912
250,0.9960159362549796,0.9960159362549801,0.9960159362549801,0.9960159362549801,0.9960159362549801,4.458655666894629e-16,0.0,0.0,0.0,20260912
260,0.9961685823754785,0.9961685823754789,0.9961685823754785,0.9961685823754789,0.9961685823754789,4.457972452725629e-16,0.0,4.457972452725629e-16,0.0,20260912
