ejecucion,semilla,N,resultado,error_relativo
1,20260914,1000000,0.9999990000010469,4.6962480904078065e-14
2,20260915,1000000,0.9999990000010237,2.3758796485751077e-14
3,20260916,1000000,0.9999990000009887,1.121326376196663e-14
4,20260917,1000000,0.999999000001009,9.103837905755086e-15
5,20260918,1000000,0.9999990000009945,5.440098260756088e-15
6,20260919,1000000,0.9999990000010096,9.658949973179177e-15
7,20260920,1000000,0.9999990000010334,3.341774645893026e-14
8,20260921,1000000,0.9999990000010023,2.3314706831811805e-15
9,20260922,1000000,0.9999990000009913,8.659748251815813e-15
10,20260923,1000000,0.9999990000009834,1.65423396092379e-14
11,20260924,1000000,0.9999990000010472,4.729554814453252e-14
12,20260925,1000000,0.9999990000010538,5.384587054013679e-14
13,20260926,1000000,0.9999990000009975,2.4424930966659987e-15
14,20260927,1000000,0.9999990000010612,6.128437224361961e-14
15,20260928,1000000,0.9999990000010495,4.951599641422888e-14
16,20260929,1000000,0.9999990000010479,4.796168262544143e-14
17,20260930,1000000,0.9999990000010196,1.9650967186812808e-14
18,20260931,1000000,0.9999990000010467,4.674043607710843e-14
19,20260932,1000000,0.9999990000010401,4.019011368150416e-14
20,20260933,1000000,0.9999990000010371,3.719250851741407e-14
21,20260934,1000000,0.9999990000010224,2.242652752393326e-14
22,20260935,1000000,0.9999990000010027,2.775560337120453e-15
23,20260936,1000000,0.9999990000010197,1.9761989600297625e-14
24,20260937,1000000,0.9999990000010432,4.329874125907907e-14
25,20260938,1000000,0.9999990000009977,2.2204482696963622e-15
26,20260939,1000000,0.9999990000010045,4.551918952877543e-15
27,20260940,1000000,0.9999990000010286,2.864378267908308e-14
28,20260941,1000000,0.9999990000010375,3.7525575757868523e-14
29,20260942,1000000,0.9999990000010457,4.574123435574507e-14
30,20260943,1000000,0.9999990000010188,1.887381029241908e-14
