N,b_directa,b_telescopica,b_referencia,error_b_directa,error_b_telescopica,c_racionalizada,c_sustractiva,diferencia_c
1,0.5,0.5,0.5,0.0,0.0,0.4142135623730951,0.41421356237309515,5.551115123125783e-17
10,0.9090909090909091,0.909090909090909,0.9090909090909091,0.0,1.2212453270876723e-16,1.356033188972261,1.3560331889722608,2.220446049250313e-16
20,0.9523809523809522,0.9523809523809521,0.9523809523809523,1.1657341758564144e-16,2.331468351712829e-16,1.6900030914172015,1.6900030914172042,2.6645352591003757e-15
30,0.9677419354838708,0.9677419354838707,0.967741935483871,2.2944609175586566e-16,3.4416913763379854e-16,1.8885454340288446,1.8885454340288461,1.5543122344752192e-15
40,0.9756097560975606,0.9756097560975605,0.975609756097561,3.4139358007223566e-16,4.551914400963142e-16,2.0302943302117433,2.0302943302117464,3.1086244689504383e-15
50,0.9803921568627446,0.9803921568627445,0.9803921568627451,4.529709940470639e-16,5.662137425588299e-16,2.140611890167559,2.1406118901675635,4.440892098500626e-15
60,0.9836065573770487,0.9836065573770486,0.9836065573770492,4.51490696680897e-16,5.643633708511212e-16,2.2309369978850877,2.230936997885089,1.3322676295501878e-15
70,0.9859154929577462,0.985915492957746,0.9859154929577465,3.378250060645119e-16,4.504333414193492e-16,2.3074156707792284,2.307415670779215,1.3322676295501878e-14
80,0.9876543209876542,0.987654320987654,0.9876543209876543,1.124100812432971e-16,2.248201624865942e-16,2.3737340018231246,2.3737340018231032,2.1316282072803006e-14
90,0.9890109890109888,0.9890109890109887,0.989010989010989,2.245117672019761e-16,3.3676765080296414e-16,2.43227765038793,2.432277650387925,5.329070518200751e-15
100,0.9900990099009898,0.9900990099009896,0.9900990099009901,3.3639757646142246e-16,4.485301019485632e-16,2.4846796648839415,2.4846796648839353,6.217248937900877e-15
110,0.9909909909909906,0.9909909909909905,0.990990990990991,3.360947883637974e-16,4.481263844850632e-16,2.5321071359675007,2.5321071359675154,1.4654943925052066e-14
120,0.9917355371900822,0.9917355371900821,0.9917355371900827,4.477899532654798e-16,5.597374415818498e-16,2.575423166266878,2.575423166266895,1.7319479184152442e-14
130,0.99236641221374,0.9923664122137399,0.9923664122137404,4.475052806950631e-16,5.593816008688289e-16,2.615284057370286,2.615284057370297,1.1102230246251565e-14
140,0.9929078014184393,0.9929078014184392,0.9929078014184397,4.472612756347059e-16,5.590765945433824e-16,2.652200516646217,2.6522005166462117,5.329070518200751e-15
150,0.9933774834437081,0.993377483443708,0.9933774834437086,4.470498045823963e-16,5.588122557279954e-16,2.686577772017258,2.68657777201721,4.796163466380676e-14
160,0.9937888198757759,0.9937888198757758,0.9937888198757764,4.468647674116255e-16,5.585809592645319e-16,2.7187427570462557,2.7187427570461518,1.0391687510491465e-13
170,0.9941520467836251,0.994152046783625,0.9941520467836257,5.583768741497111e-16,6.700522489796534e-16,2.7489630657951265,2.7489630657950324,9.414691248821327e-14
180,0.9944751381215463,0.9944751381215462,0.994475138121547,6.698345581905111e-16,7.8147365122226295e-16,2.777460497495944,2.7774604974958033,1.4077627952246985e-13
190,0.9947643979057583,0.9947643979057582,0.9947643979057592,8.928530429617049e-16,1.004459673331918e-15,2.8044209444133226,2.804420944413203,1.1945999744966684e-13
200,0.9950248756218899,0.9950248756218898,0.9950248756218906,6.694644838489694e-16,7.810418978237976e-16,2.8300017471628705,2.8300017471627763,9.414691248821327e-14
210,0.9952606635071084,0.9952606635071083,0.995260663507109,5.577549004664477e-16,6.693058805597372e-16,2.854337258077471,2.854337258077373,9.814371537686384e-14
220,0.9954751131221713,0.9954751131221712,0.995475113122172,6.691616957513444e-16,7.80688645043235e-16,2.877543112247731,2.8775431122476443,8.659739592076221e-14
230,0.9956709956709952,0.995670995670995,0.9956709956709957,5.575250406269807e-16,6.690300487523769e-16,2.8997195505339914,2.89971955053391,8.126832540256146e-14
240,0.9958506224066385,0.9958506224066384,0.995850622406639,5.57424476947214e-16,6.689093723366568e-16,2.920954036367912,2.920954036367811,1.0080825063596421e-13
250,0.9960159362549796,0.9960159362549795,0.9960159362549801,4.458655666894629e-16,5.573319583618285e-16,2.941323339125108,2.9413233391249713,1.3677947663381929e-13
